X1,X2,Y
-0.07381680293,2.321915297,1
-2.20261297,0.6324306452,1
-0.3320404208,1.991321269,1
-1.39828397,1.674042252,1
-2.579807416,0.3930955573,1
-1.804844537,1.371013501,1
-0.5618156706,2.180822928,1
-4.00631625,-1.101433351,1
-3.02316863,0.1169548477,1
-0.03912348752,2.749402087,1
-2.988241915,-0.4560367508,1
-1.705717595,1.520239923,1
-0.4932593848,1.793166131,1
-0.02309111741,2.553153456,1
-1.734183595,1.488830029,1
-4.457817861,-1.842785235,1
-4.819429846,-2.260280227,1
-1.909543805,0.4613685798,1
-2.164278191,1.001487514,1
-0.190176711,2.195301495,1
-1.269472653,1.312645239,1
-1.687419508,1.460060385,1
-2.383433408,0.3662153699,1
-3.700528593,-0.8352403504,1
-0.1900311654,2.643101803,1
-2.298979812,0.6492741142,1
-4.848649183,-2.56931684,1
-1.518427683,1.259455005,1
-2.40141921,-0.119346364,1
-4.704847222,-1.627704899,1
-0.5498188339,2.040167373,1
-3.348988787,-0.2522778285,1
-3.851494011,-1.355424444,1
-4.43025679,-1.598765538,1
-3.445386433,-0.2577095537,1
-3.857838389,-1.560051097,1
-1.740014164,0.5639634953,1
-4.669199377,-2.398581343,1
-3.622843101,-0.6913645865,1
-3.590898812,-0.7422702856,1
-0.5996687014,1.764361333,1
-2.778348207,0.2678971442,1
-1.220429395,1.647421192,1
-1.983518121,0.3366954031,1
-1.083670313,1.23560866,1
-4.430346807,-2.044339418,1
-0.1071805742,2.931710745,1
-0.7570166226,1.585381835,1
-4.746767512,-2.25889872,1
-2.668990831,-0.1753429184,1
-0.3717336253,1.273444162,-1
1.151025625,2.042672865,-1
-0.8485041811,0.2032960527,-1
0.8994248664,1.915682733,-1
1.015781602,2.115250978,-1
0.9993954792,2.233124913,-1
0.2421394019,1.665751267,-1
-1.822882697,-0.7346588934,-1
0.5690741752,2.201508691,-1
0.03865080886,1.640833395,-1
-1.459769817,0.2704655193,-1
0.2993781447,1.085086414,-1
0.2544137684,1.034040866,-1
0.755701679,2.381841172,-1
2.027021585,3.309611558,-1
1.504250364,2.597556361,-1
2.36117752,3.820991953,-1
-1.739039238,-0.7435758776,-1
-0.901593443,0.2902885057,-1
0.2982100506,1.620417455,-1
2.792667981,4.275473923,-1
1.950226785,2.946490711,-1
0.2593730452,1.11099672,-1
-0.3328590677,0.6886968983,-1
-1.704523437,-0.3613535713,-1
1.704526514,2.516210674,-1
0.5339726203,2.028545165,-1
-1.000372934,0.2164638251,-1
0.1359677555,0.9312128851,-1
-1.156548606,0.3257038571,-1
1.758472954,3.258388334,-1
-0.1582457919,0.6640814879,-1
2.709088976,4.390506628,-1
-1.914137295,-0.463537682,-1
2.145279544,3.30369601,-1
1.132954875,2.679655729,-1
0.6937325758,1.807849377,-1
1.252538177,2.204167919,-1
1.633147662,2.881446609,-1
-1.52755718,-0.4283693163,-1
2.387869672,3.341914686,-1
-1.92818928,-0.4115630483,-1
-0.5284868658,0.6206741958,-1
-1.100425607,0.5371120141,-1
2.631471341,3.865705688,-1
-1.659097816,-0.7469385067,-1
0.9054661379,1.73467603,-1
1.185756113,2.437528183,-1
1.256346324,2.728735202,-1
2.323110063,3.420590102,-1
-1.552379765,-4.196518611,-2
4.53484139,1.191394411,-2
2.231379731,-1.157608068,-2
3.554804485,0.7021065456,-2
-0.3007608297,-2.366352935,-2
2.34623957,-0.3867946452,-2
3.620162177,0.5564414276,-2
5.651476458,2.194088691,-2
1.556337303,-1.047199382,-2
-1.316817353,-3.780330097,-2
-1.54127882,-3.362009049,-2
3.035603889,0.07249638089,-2
4.369432532,1.27071854,-2
3.529530663,0.572210127,-2
0.7624628977,-1.49081876,-2
5.574533337,1.958063308,-2
2.161522546,-0.5232999789,-2
5.630504202,2.442463635,-2
-1.411234914,-3.164396324,-2
-0.3437444154,-2.573931757,-2
4.200222512,0.8766439074,-2
5.31350257,1.467418093,-2
4.260405182,1.434441723,-2
0.3642735693,-2.615770879,-2
-0.7852342215,-2.782529358,-2
4.783284179,1.070776289,-2
4.278836729,0.6913071304,-2
0.1666520172,-2.790619351,-2
-0.1775143615,-2.291633591,-2
0.5681857367,-2.048943988,-2
4.636494435,1.379446058,-2
4.577457557,1.562529476,-2
2.565462804,-0.4852595002,-2
2.57463709,-0.5087875863,-2
0.28814618,-1.987780684,-2
3.593068474,0.4107601331,-2
4.370063546,0.5772298191,-2
1.532712449,-1.244968613,-2
1.569724894,-1.419643753,-2
1.725299267,-1.008904245,-2
0.2323134982,-1.853792969,-2
3.403002547,0.4823523464,-2
5.229316211,1.467998798,-2
5.268207191,1.954758438,-2
3.977575553,1.161973144,-2
0.08409205667,-2.451394688,-2
3.517102721,0.5017051817,-2
-0.9453546762,-3.522042422,-2
-1.011993341,-3.361825625,-2
-0.472777174,-3.200429474,-2
