X,Y
0,-2.037485069
0.0101010101,1.839905286
0.0202020202,1.991621705
0.0303030303,-2.348485466
0.0404040404,2.745622116
0.05050505051,-1.532230201
0.06060606061,0.3204013825
0.07070707071,1.552332364
0.08080808081,0.207916819
0.09090909091,3.242826136
0.101010101,3.888225619
0.1111111111,0.1953857267
0.1212121212,-2.693895648
0.1313131313,-0.5155841114
0.1414141414,-1.198028605
0.1515151515,-1.080280145
0.1616161616,-1.592966275
0.1717171717,0.110448564
0.1818181818,2.975796245
0.1919191919,-1.011196239
0.202020202,-0.3962525879
0.2121212121,1.647746641
0.2222222222,1.713214952
0.2323232323,0.6858685589
0.2424242424,1.449336858
0.2525252525,1.229975671
0.2626262626,-0.5392659589
0.2727272727,0.6058484253
0.2828282828,-0.4225476822
0.2929292929,-1.271141966
0.303030303,0.8966327589
0.3131313131,0.09528402003
0.3232323232,-0.2643239229
0.3333333333,0.4120902138
0.3434343434,1.395204016
0.3535353535,0.5550540003
0.3636363636,0.2748206106
0.3737373737,0.3952204037
0.3838383838,0.07235311211
0.3939393939,-1.094000426
0.404040404,1.111397085
0.4141414141,1.990202693
0.4242424242,-0.7544603561
0.4343434343,2.723125197
0.4444444444,-0.2489648752
0.4545454545,-0.3443184289
0.4646464646,-1.267938416
0.4747474747,-1.119244221
0.4848484848,-1.346159017
0.4949494949,0.4999220053
0.5050505051,2.255937547
0.5151515152,0.745097264
0.5252525253,1.20663449
0.5353535354,1.895474048
0.5454545455,-3.530806761
0.5555555556,-0.2366920072
0.5656565657,0.4986646061
0.5757575758,1.013182805
0.5858585859,-1.843215582
0.595959596,-1.420876727
0.6060606061,1.116908657
0.6161616162,-0.1646670648
0.6262626263,0.7812872125
0.6363636364,-1.356993715
0.6464646465,-2.307886923
0.6565656566,1.075261109
0.6666666667,1.685649365
0.6767676768,2.305421706
0.6868686869,-2.164350082
0.696969697,-1.888419426
0.7070707071,-2.081935409
0.7171717172,-0.05885268904
0.7272727273,-0.869457245
0.7373737374,1.856357113
0.7474747475,-2.055407157
0.7575757576,-2.461218684
0.7676767677,0.2900105882
0.7777777778,1.685117169
0.7878787879,-1.134056931
0.797979798,-1.787820703
0.8080808081,-0.2109434275
0.8181818182,-2.3116222
0.8282828283,0.02450038605
0.8383838384,1.170168524
0.8484848485,0.3075742135
0.8585858586,-2.69697324
0.8686868687,-0.7583071641
0.8787878788,-0.4266466947
0.8888888889,2.561841319
0.898989899,1.292307076
0.9090909091,-0.08063143876
0.9191919192,1.849586967
0.9292929293,-1.475779573
0.9393939394,-0.491956934
0.9494949495,1.99536458
0.9595959596,2.122245581
0.9696969697,1.031719143
0.9797979798,0.6932299486
0.9898989899,-0.8279537699
1,1.05223506
